base_name,sample_number,sample_file,reward_score
cbc2fe47-5242-461d-99bf-57635fdccdab,2,cbc2fe47-5242-461d-99bf-57635fdccdab_sample_2.py,0.6145833333333333
dd408735-77a2-4013-9e4a-7117df116f3a,4,dd408735-77a2-4013-9e4a-7117df116f3a_sample_4.py,0.78
d3af179b-3a14-4f42-a36f-c87f372d1b27,2,d3af179b-3a14-4f42-a36f-c87f372d1b27_sample_2.py,0.6388888888888888
dccc7398-78c5-4fbb-91e3-ba6434f1e6ac,3,dccc7398-78c5-4fbb-91e3-ba6434f1e6ac_sample_3.py,0.5978260869565217
f2271a55-6bb3-4532-b010-2ece54f66c1c,4,f2271a55-6bb3-4532-b010-2ece54f66c1c_sample_4.py,-1.0
dccc7398-78c5-4fbb-91e3-ba6434f1e6ac,2,dccc7398-78c5-4fbb-91e3-ba6434f1e6ac_sample_2.py,0.5978260869565217
d426f83b-d749-4be2-acd3-a6d5845915eb,3,d426f83b-d749-4be2-acd3-a6d5845915eb_sample_3.py,0.6396103896103895
caf2784b-5fe2-4a65-b0f5-6d36f16fcc7a,3,caf2784b-5fe2-4a65-b0f5-6d36f16fcc7a_sample_3.py,0.9666666666666668
d73a60fd-9721-4ff7-ac76-aba11558b92d,1,d73a60fd-9721-4ff7-ac76-aba11558b92d_sample_1.py,0.6224489795918366
f96ac25d-a2a4-4b81-81e6-7b98ab223cf8,3,f96ac25d-a2a4-4b81-81e6-7b98ab223cf8_sample_3.py,0.625
f23f42e0-cf33-4472-9f50-92811cfbd4e6,1,f23f42e0-cf33-4472-9f50-92811cfbd4e6_sample_1.py,0.8095238095238095
e1da302c-82be-4048-8968-d62a535adff5,2,e1da302c-82be-4048-8968-d62a535adff5_sample_2.py,0.5892857142857142
feda4e7a-ca13-4012-9b19-4e47ba52ef9e,2,feda4e7a-ca13-4012-9b19-4e47ba52ef9e_sample_2.py,0.90625
c619c6d9-c45c-4ad5-8992-4bd4e48841f7,4,c619c6d9-c45c-4ad5-8992-4bd4e48841f7_sample_4.py,0.6774193548387097
caf5e0c0-965e-426a-ab2b-e342514a53e6,4,caf5e0c0-965e-426a-ab2b-e342514a53e6_sample_4.py,0.5526315789473684
f120aed0-e2a4-40df-8ae6-df616783e2b9,4,f120aed0-e2a4-40df-8ae6-df616783e2b9_sample_4.py,1.0
d17d4b27-980e-4733-9218-02ad61230552,3,d17d4b27-980e-4733-9218-02ad61230552_sample_3.py,0.6022727272727273
edd7d61f-72d2-43f7-b83c-e9fb7cd9e85b,3,edd7d61f-72d2-43f7-b83c-e9fb7cd9e85b_sample_3.py,0.5800000000000001
d391d12c-fb12-4375-9d1a-d99ca529440f,4,d391d12c-fb12-4375-9d1a-d99ca529440f_sample_4.py,0.641025641025641
d25fb31a-9a5c-4f89-93c1-34fb0b5f82bc,3,d25fb31a-9a5c-4f89-93c1-34fb0b5f82bc_sample_3.py,0.6896551724137931
f16cf946-8543-4dee-9400-18c79ef7478b,3,f16cf946-8543-4dee-9400-18c79ef7478b_sample_3.py,0.5235849056603774
f6287190-3b32-476d-8bad-f0966cb7ef8b,2,f6287190-3b32-476d-8bad-f0966cb7ef8b_sample_2.py,0.6764705882352942
f50d8fa7-2fc2-498b-abe0-649176df4260,3,f50d8fa7-2fc2-498b-abe0-649176df4260_sample_3.py,0.5449438202247192
e56ad822-e29c-458e-95ad-1fbbc1f8b351,4,e56ad822-e29c-458e-95ad-1fbbc1f8b351_sample_4.py,0.56
fad67bd6-5f9c-48f3-8d43-43b0e1384a59,2,fad67bd6-5f9c-48f3-8d43-43b0e1384a59_sample_2.py,0.7037037037037037
e145b272-4a3a-40ca-93d8-c2f4e2504aa9,2,e145b272-4a3a-40ca-93d8-c2f4e2504aa9_sample_2.py,0.5614035087719298
fb83cb7b-cc38-403b-8ae3-39ec0c658194,2,fb83cb7b-cc38-403b-8ae3-39ec0c658194_sample_2.py,0.536764705882353
d91db867-8981-4706-a518-bfabaa30511e,2,d91db867-8981-4706-a518-bfabaa30511e_sample_2.py,-1.0
f5d74bd9-51d4-4906-9dac-77112ec1d4d0,3,f5d74bd9-51d4-4906-9dac-77112ec1d4d0_sample_3.py,0.6666666666666667
f52e4627-6d8c-48e3-ba70-28d6e33882c4,1,f52e4627-6d8c-48e3-ba70-28d6e33882c4_sample_1.py,0.5273972602739727
ca0bdec8-02cf-4b5a-8cfe-76126ef90914,2,ca0bdec8-02cf-4b5a-8cfe-76126ef90914_sample_2.py,0.7115384615384615
e0d35b0c-14b7-487f-bcf4-e4df4f4cce70,3,e0d35b0c-14b7-487f-bcf4-e4df4f4cce70_sample_3.py,0.6521739130434783
cff11937-0978-454a-a396-6a486b922d7d,2,cff11937-0978-454a-a396-6a486b922d7d_sample_2.py,0.9411764705882353
ce370660-2e0d-48a2-b656-f42125ba06a3,2,ce370660-2e0d-48a2-b656-f42125ba06a3_sample_2.py,0.5696202531645569
f6287190-3b32-476d-8bad-f0966cb7ef8b,4,f6287190-3b32-476d-8bad-f0966cb7ef8b_sample_4.py,0.6764705882352942
de616bbd-3f19-4b25-8646-c6568d584849,2,de616bbd-3f19-4b25-8646-c6568d584849_sample_2.py,0.641025641025641
df605e32-635d-4d25-b47f-6aa20cfc8cd8,2,df605e32-635d-4d25-b47f-6aa20cfc8cd8_sample_2.py,0.8529411764705883
d1e5daa5-fcc0-4512-8f7b-8858653c18a6,1,d1e5daa5-fcc0-4512-8f7b-8858653c18a6_sample_1.py,1.0
c933ca81-5864-49c4-8cff-96b9371c8530,3,c933ca81-5864-49c4-8cff-96b9371c8530_sample_3.py,0.7
ee5d716a-43b3-45ac-825b-3132be50aa60,1,ee5d716a-43b3-45ac-825b-3132be50aa60_sample_1.py,0.5909090909090908
e0d35b0c-14b7-487f-bcf4-e4df4f4cce70,2,e0d35b0c-14b7-487f-bcf4-e4df4f4cce70_sample_2.py,0.6521739130434783
ee4947d4-d6f3-490b-b7d9-48710be8ddca,1,ee4947d4-d6f3-490b-b7d9-48710be8ddca_sample_1.py,0.9444444444444444
fa09b7c6-8b90-46bd-9840-9af1cf8c882e,4,fa09b7c6-8b90-46bd-9840-9af1cf8c882e_sample_4.py,0.7749999999999999
d25fb31a-9a5c-4f89-93c1-34fb0b5f82bc,4,d25fb31a-9a5c-4f89-93c1-34fb0b5f82bc_sample_4.py,0.6896551724137931
ef1a0fbc-d3ef-4b0e-a3d3-13ea033dcc6c,4,ef1a0fbc-d3ef-4b0e-a3d3-13ea033dcc6c_sample_4.py,0.75
f25fec57-98f3-4544-8bef-1c29fce4f714,3,f25fec57-98f3-4544-8bef-1c29fce4f714_sample_3.py,0.76
ccdbefad-10dd-4877-a709-0f47d3f9ca54,1,ccdbefad-10dd-4877-a709-0f47d3f9ca54_sample_1.py,0.5384615384615385
d79d0a4e-23ac-4a2a-8172-4c61ae83de78,3,d79d0a4e-23ac-4a2a-8172-4c61ae83de78_sample_3.py,0.8529411764705883
d62b9734-4378-49e8-98d2-1cdc7c5026f8,1,d62b9734-4378-49e8-98d2-1cdc7c5026f8_sample_1.py,0.5411764705882354
dc39cbb6-c961-4c63-9683-9571afb3cc13,2,dc39cbb6-c961-4c63-9683-9571afb3cc13_sample_2.py,-1.0
f093d7ef-a523-4370-8dd9-32ec08de122b,3,f093d7ef-a523-4370-8dd9-32ec08de122b_sample_3.py,0.55
e307a4e0-16b7-4ac0-b3db-6db1b2536966,1,e307a4e0-16b7-4ac0-b3db-6db1b2536966_sample_1.py,0.74
c49e6501-52c0-4fb0-b040-3b221c891a0a,3,c49e6501-52c0-4fb0-b040-3b221c891a0a_sample_3.py,0.6547619047619047
ec2efa37-0282-428e-8523-474adf5b1aae,2,ec2efa37-0282-428e-8523-474adf5b1aae_sample_2.py,0.7380952380952381
dd7bc2cb-e945-49b7-bdff-008a99bba3ed,4,dd7bc2cb-e945-49b7-bdff-008a99bba3ed_sample_4.py,0.8500000000000001
e0a94cd1-50ec-48e4-b6ac-95007e686f09,4,e0a94cd1-50ec-48e4-b6ac-95007e686f09_sample_4.py,0.5491803278688525
e1da302c-82be-4048-8968-d62a535adff5,3,e1da302c-82be-4048-8968-d62a535adff5_sample_3.py,0.5892857142857142
