filename,base_model,activity_similarity,code_correctness,behavioral_similarity,reward
c35a2b1b-8474-4492-b3b6-41862ac5036c_sample_1,c35a2b1b-8474-4492-b3b6-41862ac5036c,1.0,0.9500000000000002,0.10416666666666667,0.2533333333333332
c35a2b1b-8474-4492-b3b6-41862ac5036c_sample_2,c35a2b1b-8474-4492-b3b6-41862ac5036c,1.0,1.0,0.08928571428571429,0.27142857142857135
c35a2b1b-8474-4492-b3b6-41862ac5036c_sample_3,c35a2b1b-8474-4492-b3b6-41862ac5036c,1.0,1.0,0.0,0.19999999999999996
c35a2b1b-8474-4492-b3b6-41862ac5036c_sample_4,c35a2b1b-8474-4492-b3b6-41862ac5036c,1.0,0.7500000000000001,0.2413793103448276,0.24310344827586206
c37e68ef-2601-41c3-97b1-ee12581c44be_sample_1,c37e68ef-2601-41c3-97b1-ee12581c44be,1.0,0.6,0.0,-0.040000000000000036
c37e68ef-2601-41c3-97b1-ee12581c44be_sample_2,c37e68ef-2601-41c3-97b1-ee12581c44be,1.0,0.7500000000000001,0.38461538461538464,0.35769230769230775
c37e68ef-2601-41c3-97b1-ee12581c44be_sample_3,c37e68ef-2601-41c3-97b1-ee12581c44be,1.0,0.9500000000000002,0.0,0.16999999999999993
c37e68ef-2601-41c3-97b1-ee12581c44be_sample_4,c37e68ef-2601-41c3-97b1-ee12581c44be,1.0,1.0,0.023622047244094488,0.2188976377952756
c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_1,c4171bc6-df59-4b81-bb6b-498a97ae24bb,1.0,1.0,0.0,0.19999999999999996
c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_2,c4171bc6-df59-4b81-bb6b-498a97ae24bb,1.0,0.75,0.0,0.04999999999999982
c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_3,c4171bc6-df59-4b81-bb6b-498a97ae24bb,1.0,0.7000000000000001,0.0,0.020000000000000018
c4171bc6-df59-4b81-bb6b-498a97ae24bb_sample_4,c4171bc6-df59-4b81-bb6b-498a97ae24bb,1.0,0.9500000000000002,0.01092896174863388,0.178743169398907
c439f889-faad-4311-b32e-0b0b64b52321_sample_1,c439f889-faad-4311-b32e-0b0b64b52321,1.0,1.0,0.0,0.19999999999999996
c439f889-faad-4311-b32e-0b0b64b52321_sample_2,c439f889-faad-4311-b32e-0b0b64b52321,1.0,0.7500000000000001,0.3333333333333333,0.31666666666666665
c439f889-faad-4311-b32e-0b0b64b52321_sample_3,c439f889-faad-4311-b32e-0b0b64b52321,1.0,1.0,0.06382978723404255,0.25106382978723407
c439f889-faad-4311-b32e-0b0b64b52321_sample_4,c439f889-faad-4311-b32e-0b0b64b52321,1.0,0.9500000000000002,0.0,0.16999999999999993
c454ff48-c41e-4b36-8242-928c03d94dd3_sample_1,c454ff48-c41e-4b36-8242-928c03d94dd3,1.0,0.7500000000000001,0.4074074074074074,0.375925925925926
c454ff48-c41e-4b36-8242-928c03d94dd3_sample_2,c454ff48-c41e-4b36-8242-928c03d94dd3,1.0,1.0,0.0,0.19999999999999996
